what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1498991684266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1498991684266
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498991684945
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1498991686043
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1498991688293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498991688625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498991716438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498991720141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498991724452
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1498991726679
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1498991730364
error,log,,,"Failed Executing: [nios2-download, '--cable=DE-SoC on localhost [USB-1]', --device=2, --instance=0, --go, --accept-bad-sysid, --sidp=0x8001068, /cygdrive/e/Electronic_Exam/1.7/FPGA/software/dds2/dds2.elf] return code: 4, 'other error'",1498991740370
error,log,,,"Downloading ELF Process failed",1498991740373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498991740406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498991741416
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498991743313
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1498991747221
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1498991750893
error,log,,,"Failed Executing: [nios2-download, '--cable=DE-SoC on localhost [USB-1]', --device=2, --instance=0, --go, --accept-bad-sysid, --sidp=0x8001068, /cygdrive/e/Electronic_Exam/1.7/FPGA/software/dds2/dds2.elf] return code: 4, 'other error'",1498991760069
error,log,,,"Downloading ELF Process failed",1498991760071
