what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1498647074779
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1498647074780
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1498647074781
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1498647074781
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1498647074782
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1498647074783
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1498647074783
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1498647074784
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1498647074785
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1498647074785
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1498647074786
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1498647074787
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1498647074787
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1498647074787
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1498647074788
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1498647074789
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1498647074789
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1498647074790
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1498647074791
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1498647074791
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1498647074792
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1498647074792
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1498647074793
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1498647074794
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1498647074794
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1498647074796
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1498647074796
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1498647074796
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1498647074797
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1498647074798
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1498647074799
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1498647074800
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1498647074801
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1498647074801
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1498647074802
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1498647074803
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1498647074804
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1498647074805
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1498647074806
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1498647074806
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1498647074807
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1498647074808
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1498647074808
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1498647074808
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1498647074808
os,sysinfo,,,"win32",1498647074811
arch,sysinfo,,,"x86",1498647074811
ws,sysinfo,,,"win32",1498647074811
locale,sysinfo,,,"zh_CN",1498647074811
processors,sysinfo,,,"4",1498647074811
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1498647074811
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1498647074811
java.specification.name,sysinfo,,,"Java Platform API Specification",1498647074811
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1498647074811
java.specification.version,sysinfo,,,"1.6",1498647074811
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1498647074811
java.version,sysinfo,,,"1.6.0_23",1498647074811
java.vm.info,sysinfo,,,"mixed mode",1498647074811
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1498647074811
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1498647074811
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1498647074811
java.vm.specification.version,sysinfo,,,"1.0",1498647074811
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1498647074811
java.vm.version,sysinfo,,,"19.0-b09",1498647074811
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1498647080554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498647081864
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1498647083624
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498647083724
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498647083775
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1498647083789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498647083879
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1498647083889
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1498647083889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498647084917
error,log,,,"Unable to create editor ID org.eclipse.cdt.ui.editor.CEditor: The file does not exist.",1498647086148
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498647086158
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498647086170
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498647086173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498647086203
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1498647086223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1498647086223
started,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1498647090255
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1498647090387
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1498647090471
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1498647090477
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1498647090477
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1498647090478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498647091822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498647120208
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498647123198
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498647123258
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1498647125921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498647127365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498647131394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1498647132719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1498647133490
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1498647136030
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1498647136938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498647137249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498647167273
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498647171866
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1498647173923
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1498647174577
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1498647175103
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1498647175109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498647177536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498647194552
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498647195182
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1498647197375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498647197695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498647214974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498647291927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498647296978
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1498647298260
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1498647298261
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1498647299376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498647299496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498647306320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498647308117
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1498647308997
