what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1498633066447
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1498633066448
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1498633066448
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1498633066449
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1498633066450
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1498633066450
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1498633066450
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1498633066451
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1498633066451
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1498633066452
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1498633066453
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1498633066453
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1498633066454
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1498633066454
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1498633066454
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1498633066454
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1498633066455
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1498633066455
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1498633066455
os,sysinfo,,,"win32",1498633066458
arch,sysinfo,,,"x86",1498633066458
ws,sysinfo,,,"win32",1498633066458
locale,sysinfo,,,"zh_CN",1498633066458
processors,sysinfo,,,"4",1498633066458
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1498633066458
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1498633066458
java.specification.name,sysinfo,,,"Java Platform API Specification",1498633066458
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1498633066458
java.specification.version,sysinfo,,,"1.6",1498633066458
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1498633066458
java.version,sysinfo,,,"1.6.0_23",1498633066458
java.vm.info,sysinfo,,,"mixed mode",1498633066458
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1498633066458
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1498633066458
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1498633066458
java.vm.specification.version,sysinfo,,,"1.0",1498633066458
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1498633066458
java.vm.version,sysinfo,,,"19.0-b09",1498633066458
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1498633066500
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1498633070358
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1498633071049
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1498633071052
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1498633071399
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1498633071400
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1498633072280
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1498633072735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498633072912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498633076039
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1498633077229
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1498633077605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498633077667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498633081054
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1498633086082
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498633086124
closed,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1498633086176
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1498633092058
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1498633092290
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1498633092299
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1498633092300
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1498633092301
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1498633092309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1498633134149
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1498633134985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498633135383
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1498633136819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498633140039
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1498633145070
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1498633146324
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1498633149972
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498633155010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1498633172574
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1498633174990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498633175355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498633180011
