what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631690781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631694857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631710485
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631710730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631711741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631713343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631844542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631845285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631880443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631906040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631910913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631912356
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1498631917136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631920133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631921202
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1498631921204
error,log,,,"Failed Executing: [nios2-download, '--cable=DE-SoC on localhost [USB-1]', --device=2, --instance=0, --go, --accept-bad-sysid, --sidp=0x80010e8, /cygdrive/e/DE1-SOC/class10-Digital_Freq/software/freq/freq.elf] return code: 4, 'other error'",1498631931442
error,log,,,"Downloading ELF Process failed",1498631931444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631931508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631933123
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498631933605
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1498631934806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631935212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631938459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631942901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631946075
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1498631948513
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1498631949766
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1498631953368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631957258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498631994562
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1498631998456
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1498632002041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498632005644
